Timestamp,Type,X,Y,Z
1767308073447,ACC,2.042254,-2.0829554,9.356541
1767308073487,ACC,1.99437,-2.123657,9.351752
1767308073527,ACC,2.0638018,-2.0949266,9.334992
1767308073568,ACC,2.0901382,-2.147599,9.346964
1767308073608,ACC,2.0518308,-2.0733786,9.325416
1767308073648,ACC,2.0949266,-2.087744,9.394848
1767308073688,ACC,2.0039468,-2.1523874,9.320627
1767308073728,ACC,2.0470424,-2.1068976,9.445126
1767308073767,ACC,2.0494366,-2.0853498,9.3421755
1767308073809,ACC,2.0638018,-2.1523874,9.346964
1767308073848,ACC,2.087744,-2.0685902,9.469068
1767308073888,ACC,2.054225,-2.1428106,9.380483
1767308073893,HR,45.0,0.0,0.0
1767308073929,ACC,1.9488802,-2.1212628,9.390059
1767308073968,ACC,1.9895816,-2.0757728,9.375694
1767308074009,ACC,2.0111294,-2.1763294,9.332599
1767308074050,ACC,2.0350714,-2.1428106,9.299079
1767308074089,ACC,2.030283,-2.1092918,9.32781
1767308074129,ACC,2.0518308,-2.1643584,9.325416
1767308074170,ACC,2.0015526,-2.1906946,9.392453
1767308074211,ACC,2.0374656,-2.1619642,9.392453
1767308074249,ACC,2.0566192,-2.2170308,9.397242
1767308074287,ACC,1.9800048,-2.1763294,9.404425
1767308074329,ACC,2.0254946,-2.1188686,9.291897
1767308074369,ACC,2.0111294,-2.1978772,9.361329
1767308074409,ACC,2.006341,-2.0949266,9.370906
1767308074451,ACC,2.0590134,-2.1787236,9.334992
1767308074491,ACC,2.0398598,-2.1212628,9.339781
1767308074531,ACC,1.982399,-2.2002714,9.356541
1767308074573,ACC,2.006341,-2.1140802,9.32781
1767308074612,ACC,2.0398598,-2.1404164,9.399636
1767308074651,ACC,2.0638018,-2.1428106,9.404425
1767308074692,ACC,2.042254,-2.171541,9.368511
1767308074731,ACC,2.0398598,-2.1667526,9.368511
1767308074772,ACC,2.030283,-2.1092918,9.32781
1767308074813,ACC,2.0135236,-2.1212628,9.382876
1767308074852,ACC,1.9680338,-2.1499932,9.378088
1767308074892,ACC,1.9991584,-2.1691468,9.378088
1767308074896,HR,45.0,0.0,0.0
1767308074933,ACC,2.0350714,-2.1667526,9.31105
1767308074973,ACC,2.018312,-2.2146366,9.313444
1767308075012,ACC,1.9728222,-2.1571758,9.385271
1767308075054,ACC,2.0111294,-2.2026656,9.399636
1767308075094,ACC,2.0901382,-2.1643584,9.425972
1767308075134,ACC,1.9752164,-2.195483,9.330204
1767308075174,ACC,1.9680338,-2.1859062,9.378088
1767308075214,ACC,2.0350714,-2.0733786,9.289502
1767308075254,ACC,2.0518308,-2.2505496,9.375694
1767308075295,ACC,2.0494366,-2.1906946,9.356541
1767308075335,ACC,2.0518308,-2.1787236,9.344569
1767308075375,ACC,2.0398598,-2.1859062,9.315839
1767308075415,ACC,2.0566192,-2.1284454,9.303867
1767308075455,ACC,2.0470424,-2.0925324,9.358934
1767308075495,ACC,2.0231004,-2.1428106,9.332599
1767308075535,ACC,2.0278888,-2.1739352,9.406818
1767308075574,ACC,2.0685902,-2.111686,9.346964
1767308075617,ACC,2.042254,-2.2649148,9.363723
1767308075656,ACC,2.0757728,-2.2266076,9.406818
1767308075696,ACC,2.0733786,-2.1140802,9.3182335
1767308075736,ACC,2.018312,-2.123657,9.358934
1767308075775,ACC,2.0757728,-2.1571758,9.337387
1767308075817,ACC,2.1092918,-2.1978772,9.390059
1767308075857,ACC,2.0518308,-2.1691468,9.380483
1767308075897,ACC,2.0374656,-2.135628,9.332599
1767308075901,HR,44.0,0.0,0.0
1767308075937,ACC,2.0350714,-2.1260512,9.3661175
1767308075976,ACC,2.0374656,-2.1643584,9.315839
1767308076017,ACC,2.0733786,-2.219425,9.325416
1767308076058,ACC,1.9919758,-2.1404164,9.40203
1767308076097,ACC,2.0278888,-2.1499932,9.332599
1767308076138,ACC,1.99437,-2.1428106,9.358934
1767308076177,ACC,2.0757728,-2.2266076,9.346964
1767308076219,ACC,2.0326772,-2.1787236,9.380483
1767308076259,ACC,1.99437,-2.1212628,9.368511
1767308076298,ACC,1.970428,-2.1739352,9.375694
1767308076339,ACC,2.078167,-2.1930888,9.414001
1767308076379,ACC,2.0566192,-2.1978772,9.363723
1767308076419,ACC,2.030283,-2.183512,9.425972
1767308076459,ACC,2.054225,-2.1260512,9.356541
1767308076499,ACC,2.0925324,-2.2050598,9.361329
1767308076539,ACC,2.0709844,-2.1260512,9.445126
1767308076579,ACC,1.9847932,-2.1739352,9.392453
1767308076621,ACC,2.0494366,-2.0949266,9.3733
1767308076660,ACC,2.0159178,-2.1523874,9.370906
1767308076700,ACC,2.1164744,-2.135628,9.382876
1767308076740,ACC,2.054225,-2.1763294,9.344569
1767308076780,ACC,2.0278888,-2.1284454,9.380483
1767308076821,ACC,2.006341,-2.1380222,9.330204
1767308076862,ACC,2.0518308,-2.1332338,9.339781
1767308076901,ACC,2.123657,-2.099715,9.296685
1767308076907,HR,44.0,0.0,0.0
1767308076942,ACC,2.0566192,-2.1188686,9.349358
1767308076981,ACC,2.054225,-2.1068976,9.3661175
1767308077021,ACC,2.054225,-2.1523874,9.370906
1767308077061,ACC,2.0709844,-2.1068976,9.385271
1767308077102,ACC,2.0135236,-2.0853498,9.337387
1767308077142,ACC,2.0901382,-2.147599,9.337387
1767308077181,ACC,2.0231004,-2.1739352,9.416395
1767308077223,ACC,2.0231004,-2.2218192,9.380483
1767308077262,ACC,2.0805612,-2.135628,9.349358
1767308077303,ACC,2.1045034,-2.1380222,9.390059
1767308077343,ACC,1.9991584,-2.0853498,9.385271
1767308077383,ACC,2.054225,-2.0685902,9.385271
1767308077423,ACC,2.0350714,-2.1188686,9.349358
1767308077463,ACC,2.0829554,-2.1068976,9.411607
1767308077502,ACC,2.0494366,-2.1428106,9.3733
1767308077543,ACC,2.0254946,-2.1188686,9.406818
1767308077584,ACC,2.0853498,-2.111686,9.3421755
1767308077624,ACC,2.0805612,-2.078167,9.457097
1767308077664,ACC,2.0853498,-2.1045034,9.32781
1767308077704,ACC,2.0446482,-2.1859062,9.351752
